addfriend_dz(uid=305512, domain=dom)
addfriend_dz(uid=305511, domain=dom)
addfriend_dz(uid=305510, domain=dom)
addfriend_dz(uid=305509, domain=dom)
addfriend_dz(uid=305508, domain=dom)
addfriend_dz(uid=305507, domain=dom)
addfriend_dz(uid=305506, domain=dom)
addfriend_dz(uid=305505, domain=dom)
addfriend_dz(uid=305504, domain=dom)
addfriend_dz(uid=305503, domain=dom)
addfriend_dz(uid=305502, domain=dom)
addfriend_dz(uid=305501, domain=dom)
addfriend_dz(uid=305500, domain=dom)
addfriend_dz(uid=305499, domain=dom)
addfriend_dz(uid=305498, domain=dom)
addfriend_dz(uid=305497, domain=dom)
addfriend_dz(uid=305496, domain=dom)
addfriend_dz(uid=305495, domain=dom)
addfriend_dz(uid=305494, domain=dom)
addfriend_dz(uid=305493, domain=dom)
addfriend_dz(uid=305492, domain=dom)
addfriend_dz(uid=305491, domain=dom)
addfriend_dz(uid=305490, domain=dom)
addfriend_dz(uid=305489, domain=dom)
addfriend_dz(uid=305488, domain=dom)
addfriend_dz(uid=305487, domain=dom)
addfriend_dz(uid=305486, domain=dom)
addfriend_dz(uid=305485, domain=dom)
addfriend_dz(uid=305484, domain=dom)
addfriend_dz(uid=305483, domain=dom)
addfriend_dz(uid=305482, domain=dom)
addfriend_dz(uid=305481, domain=dom)
addfriend_dz(uid=305480, domain=dom)
addfriend_dz(uid=305479, domain=dom)
addfriend_dz(uid=305478, domain=dom)
addfriend_dz(uid=305477, domain=dom)
addfriend_dz(uid=305476, domain=dom)
addfriend_dz(uid=305475, domain=dom)
addfriend_dz(uid=305474, domain=dom)
addfriend_dz(uid=305473, domain=dom)
addfriend_dz(uid=305472, domain=dom)
addfriend_dz(uid=305471, domain=dom)
addfriend_dz(uid=305470, domain=dom)
addfriend_dz(uid=305469, domain=dom)
addfriend_dz(uid=305468, domain=dom)
addfriend_dz(uid=305467, domain=dom)
addfriend_dz(uid=305466, domain=dom)
addfriend_dz(uid=305465, domain=dom)
addfriend_dz(uid=305464, domain=dom)
addfriend_dz(uid=305463, domain=dom)
addfriend_dz(uid=305462, domain=dom)
addfriend_dz(uid=305461, domain=dom)
addfriend_dz(uid=305460, domain=dom)
addfriend_dz(uid=305459, domain=dom)
addfriend_dz(uid=305458, domain=dom)
addfriend_dz(uid=305457, domain=dom)
addfriend_dz(uid=305456, domain=dom)
addfriend_dz(uid=305455, domain=dom)
addfriend_dz(uid=305454, domain=dom)
addfriend_dz(uid=305453, domain=dom)
addfriend_dz(uid=305452, domain=dom)
addfriend_dz(uid=305451, domain=dom)
